Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
SENTARA RMH MEDICAL CENTER,HARRISONBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
WINCHESTER MEDICAL CENTER,WINCHESTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
SENTARA NORFOLK GENERAL HOSPITAL,NORFOLK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
UNIVERSITY OF VIRGINIA MEDICAL CENTER,CHARLOTTESVILLE,Acute Care Hospitals,Government - State,Yes,2,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
BON SECOURS DEPAUL MEDICAL CENTER,NORFOLK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
SENTARA HALIFAX REGIONAL HOSPITAL,SOUTH BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
BON SECOURS MARYVIEW MEDICAL CENTER,PORTSMOUTH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
AUGUSTA HEALTH,FISHERSVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE,CULPEPER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
JOHN RANDOLPH MEDICAL CENTER,HOPEWELL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average
"CENTRA  HEALTH, INC",LYNCHBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
"MARY WASHINGTON HOSPITAL, INC",FREDERICKSBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
FAUQUIER HOSPITAL,WARRENTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
CARILION ROANOKE MEMORIAL HOSPITAL,ROANOKE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
MEDICAL COLLEGE OF VIRGINIA HOSPITALS,RICHMOND,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
WARREN MEMORIAL HOSPITAL,FRONT ROYAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
RIVERSIDE SHORE MEMORIAL HOSPITAL,ONANCOCK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
SMYTH COUNTY COMMUNITY HOSPITAL,MARION,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
INOVA ALEXANDRIA HOSPITAL,ALEXANDRIA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MARY IMMACULATE HOSPITAL,NEWPORT NEWS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
CARILION NEW RIVER VALLEY MEDICAL CENTER,CHRISTIANSBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
INOVA LOUDOUN HOSPITAL,LEESBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
SENTARA OBICI HOSPITAL,SUFFOLK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER,MANASSAS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
SENTARA LEIGH HOSPITAL,NORFOLK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
LEWISGALE MEDICAL CENTER,SALEM,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
VIRGINIA HOSPITAL CENTER,ARLINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
RIVERSIDE REGIONAL MEDICAL CENTER,NEWPORT NEWS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
JOHNSTON MEMORIAL HOSPITAL,ABINGDON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
SENTARA VIRGINIA BEACH GENERAL HOSPITAL,VIRGINIA BEACH,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
BON SECOURS ST MARYS HOSPITAL,RICHMOND,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
CLINCH VALLEY MEDICAL CENTER,RICHLANDS,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
INOVA FAIRFAX HOSPITAL,FALLS CHURCH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,WILLIAMSBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
SOUTHSIDE REGIONAL MEDICAL CENTER,PETERSBURG,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,MECHANICSVILLE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
DANVILLE REGIONAL MEDICAL CENTER,DANVILLE,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
MARTHA JEFFERSON HOSPITAL,CHARLOTTESVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
